# epoch_start_s=1609460646
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,wind_vane_deg
# wind_vane_deg is blank for the first 270 s, populated for the final 30 s
0.124,6.324961,7.11514436,3.953002,-0.0030778944,0.000460457068,-0.0035258192,-4224.0,29181.5,7297.5,
0.243,6.3536916,7.122327,3.96976132,-0.006142199,0.00179276984,0.00047111884,-3968.0,30205.5,8833.5,
0.361,6.360874,7.136692,3.9458192,-0.002811417,-0.00313678,0.00020465534,-3968.0,29949.5,7553.5,
0.477,6.310596,7.11275,3.9865208,-0.007074803,0.00912049,-0.0005947314,-4736.0,29949.5,7553.5,
0.596,6.286654,7.1175384,4.008069,-0.0021452606,0.0012598485,-0.0011276575,-5504.0,29437.5,8833.5,
0.713,6.3297496,7.122327,4.008069,-0.004676655,0.0043241644,-0.00046150108,-4224.0,29437.5,8321.5,
0.829,6.324961,7.1079616,3.9817324,-0.0029446482,0.0009933859,-0.0025932006,-4224.0,30205.5,8321.5,
0.946,6.356086,7.1295096,4.017646,-0.0054760424,0.00912049,-0.0001950385,-3968.0,30461.5,9345.5,
1.060,6.2818656,7.1199332,4.0248284,-0.0026781856,-0.0062011032,0.0024695872,-5248.0,29693.5,9345.5,
1.183,6.368057,7.1175384,3.996098,-0.0030778944,0.0036580116,-0.0016605817,-5248.0,29693.5,8577.5,
1.300,6.2914424,7.10556736,4.022434,-0.0030778944,-0.0023373962,-0.0024599694,-4736.0,29693.5,8577.5,
1.418,6.3034132,7.146269,4.022434,0.0025178344,0.0059229432,0.00087081176,-3968.0,29949.5,8577.5,
1.534,6.346509,7.11514436,4.005675,-0.006675124,0.005256787,-0.0003282698,-4480.0,29949.5,8321.5,
1.649,6.3417208,7.124721,3.95539616,-0.004276961,0.0009933859,0.000337886632,-3456.0,29949.5,8321.5,
1.774,6.296231,7.098385,3.9913096,-0.0021452606,0.000460457068,-0.0008611949,-4480.0,29693.5,9601.5,
1.891,6.2938368,6.9762808,4.0511648,-0.008140668,0.004857093,-0.0043252064,-4992.0,29693.5,8065.5,
2.007,6.360874,7.06726036,4.008069,-0.0060089676,0.0075217187,-0.0025932006,-5760.0,29949.5,10113.5,
2.126,6.334538,7.1175384,4.082289,-0.008407116,0.011385422,-0.006723369,-4992.0,29693.5,9089.5,
2.240,6.348903,7.191759,3.905118,-0.003344342,0.0055232496,-0.0036590504,-6016.0,29949.5,8577.5,
2.361,6.4231232,7.0600776,3.9865208,-0.002811417,0.003791239,-0.005124594,-5248.0,29437.5,8321.5,
2.477,6.324961,7.0313468,4.022434,-0.0005464852,0.0027253888,-0.005124594,-4736.0,30205.5,8321.5,
2.592,6.5835348,7.002617,4.017646,-0.0030778944,0.0059229432,0.000337886632,-4736.0,29949.5,8833.5,
2.709,6.22201,7.1271152,3.953002,0.01504156,0.0402966,-0.008188913,-4992.0,29693.5,8577.5,
2.822,6.289048,7.392872,3.9721556,-0.02652657,0.05934867,-0.005923982,-5760.0,29181.5,9601.5,
2.936,6.561987,7.0193763,4.046376,-0.009073272,0.00698879,-0.0175151,-5504.0,29437.5,9857.5,
3.056,6.1190596,7.2564024,4.022434,-0.012936994,0.003791239,-0.0035258192,-6528.0,29181.5,10369.5,
3.172,6.3656624,7.0959907,3.99849232,-0.00094617908,0.010985728,0.00193666116,-6016.0,29437.5,9089.5,
3.294,6.231587,7.14148036,4.0391936,-0.0025449544,0.006189406,0.0054006736,-6016.0,29437.5,9857.5,
3.411,6.037657,7.5437064,4.4222656,-0.044912488,0.015915284,0.010863154,-5504.0,28413.5,9345.5,
3.528,6.0927232,7.182182,4.127779,0.009579092,-0.0012715459,0.00073758052,-5760.0,29181.5,9601.5,
3.650,6.262712,7.0959907,4.02004,-0.002411738,0.0055232496,-0.002326738,-5504.0,28925.5,10369.5,
3.766,5.86288,7.11275,4.2187584,0.0031839908,-0.01352882,0.005267442,-6272.0,29437.5,9601.5,
3.879,6.1669436,7.0552892,4.0870776,-0.0050763636,0.00805464,0.003801899,-4480.0,28925.5,10113.5,
3.997,6.336932,7.148663,3.93145416,0.000785827636,0.004857093,0.00286928,-4992.0,29181.5,10369.5,
4.113,6.296231,7.160634,4.0248284,0.008513242,-0.016459908,0.003801899,-5760.0,29437.5,10369.5,
4.233,6.28426,7.311469,3.8859644,-0.018266246,0.02097807,-0.0048581316,-5504.0,29181.5,9857.5,
4.348,6.621842,6.835023,4.187634,-0.08728002,0.06734254,-0.0072562936,-6016.0,29181.5,10113.5,
4.462,6.087935,6.811081,4.046376,-0.11885585,0.133292,-0.022577886,-7040.0,28925.5,12161.5,
4.576,5.7719008,6.7248892,4.9202596,-0.16015752,0.1656672,-0.051622296,-8320.0,29949.5,15745.5,
4.693,6.480584,7.08401968,4.4198712,-0.2700733,0.28331038,-0.054953076,-9856.0,30717.5,20097.5,
4.815,5.968225,7.28992136,5.1548916,-0.3815878,0.31342064,-0.10891173,-13184.0,32509.5,26753.5,
4.932,5.139831,6.8278402,5.660068,-0.393711868,0.37390764,-0.08026701,-16768.0,-31490.5,-31870.5,
5.050,5.398405,5.4990584,6.2729836,-0.2977854,0.2352139,-0.10571418,-19840.0,-29442.5,-24190.5,
5.165,5.1350428,5.7049592,7.00800368,-0.10193546,0.09465495,-0.016049556,-22144.0,-27394.5,-19326.5,
5.283,5.0584284,6.164646,6.632114,0.026765912,-0.026585482,0.0024695872,-22656.0,-26626.5,-18558.5,
5.399,5.1182832,5.937197,6.5650764,0.08125749,-0.08574015,0.009664073,-21888.0,-27138.5,-19326.5,
5.519,4.7208456,6.58842,6.1772156,0.11683024,-0.218571716,-0.008055681,-22144.0,-28162.5,-21118.5,
5.635,4.651414,6.382519,6.2490416,0.26498336,-0.41295612,0.03284631,-20096.0,-29698.5,-24702.5,
5.751,5.4845964,6.696159,5.4852916,0.32613652,-0.441467568,0.07361507,-15744.0,-31234.5,-31358.5,
5.868,6.3273552,7.0241648,4.6592916,0.2621855,-0.26053952,0.047501748,-12416.0,32253.5,25729.5,
5.984,6.564381,7.3162576,4.235518,0.016773582,-0.061758532,-0.013118468,-10880.0,31229.5,20609.5,
6.105,5.920341,6.6339096,5.0926424,0.005582154,-0.011663582,-0.004458438,-10112.0,30717.5,18817.5,
6.221,6.114271,6.8685416,4.7742132,0.010511711,-0.026585482,0.0018034298,-9856.0,30973.5,18049.5,
6.338,6.111877,6.8781184,4.8101264,-0.0058757364,0.02737317,-0.011786156,-9600.0,30973.5,17793.5,
6.455,5.9849844,7.0696548,4.5946484,0.0050492288,0.0035247804,-0.0025932006,-9344.0,31485.5,18561.5,
6.574,5.836544,7.191759,4.6568976,-0.013336688,0.0053900144,0.003801899,-9344.0,32253.5,18817.5,
6.696,5.956254,6.87572436,4.7670308,-0.00520958,-0.01606021,-0.0019270442,-9600.0,31741.5,18305.5,
6.811,5.9035816,6.77037936,4.901106,-0.00774095936,0.0028586238,-0.00046150108,-9344.0,31485.5,18561.5,
6.930,5.977802,6.906849,4.8268856,-0.007474512,0.0096534152,-0.004191975,-9344.0,31229.5,18305.5,
7.045,6.078358,6.9283968,4.795761,-0.0054760424,0.009253722,-0.0043252064,-9856.0,30717.5,18049.5,
7.161,6.004138,6.846994,4.7742132,-0.0040104984,-0.00180447468,0.0024695872,-9856.0,31485.5,18049.5,
7.284,5.977802,6.897272,4.7885784,-0.002411738,-0.0034032464,0.0039351304,-9600.0,31229.5,18049.5,
7.399,6.02808,6.85417636,4.781396,-0.004809886,0.0035247804,-0.0036590504,-8320.0,31485.5,19073.5,
7.517,5.968225,6.87572436,4.8268856,-0.007607743,0.0043241644,-0.0008611949,-9600.0,31485.5,18305.5,
7.634,6.0592048,6.91163736,4.7670308,0.0002528876,0.0024589264,0.0006043492,-9856.0,30717.5,18561.5,
7.751,6.054416,6.823052,4.7861844,-0.002811417,0.0059229432,-0.002326738,-10112.0,31229.5,18561.5,
7.878,5.977802,6.902061,4.7502712,0.0003861338,-0.0003389269,0.0006043492,-9856.0,31485.5,19585.5,
7.995,6.0831468,6.870936,4.795761,-0.0022784918,0.0009933859,0.0020698932,-9856.0,31229.5,19841.5,
8.110,5.9490716,6.858965,4.735906,-0.0050763636,0.0029918552,-0.00046150108,-9088.0,31229.5,18305.5,
8.226,6.016109,6.8302344,4.769425,0.002384603,0.00059369208,-0.0013941191,-8832.0,31485.5,19585.5,
8.343,6.0208976,6.8685416,4.819703,-0.002811417,0.0035247804,-0.008055681,-9344.0,31741.5,19585.5,
8.460,5.994561,6.8805128,4.7790016,-0.006541893,-0.0019377023,-0.0036590504,-9088.0,31229.5,19329.5,
8.584,5.992167,6.933185,4.771819,0.0027842968,0.0028586238,-0.0029928944,-10112.0,30973.5,19073.5,
8.700,5.965831,6.8637532,4.7742132,-0.0010794252,0.005256787,-0.0021935068,-9856.0,30717.5,18817.5,
8.817,6.025686,6.89248368,4.7406944,-0.00347757336,0.0043241644,-0.002726432,-10368.0,31229.5,19073.5,
8.936,6.004138,6.8517824,4.8340684,-0.0005464852,-0.0022041648,-0.005124594,-10112.0,31485.5,18817.5,
9.051,6.016109,6.91882,4.8580104,-0.00414373,0.0011266135,-0.0048581316,-10880.0,31229.5,19841.5,
9.172,5.95386,6.835023,4.7885784,-0.006142199,-0.00180447468,0.00193666116,-9856.0,30973.5,18049.5,
9.289,5.980196,6.882907,4.819703,-0.0014791042,-0.0012715459,-0.0035258192,-10112.0,30973.5,18561.5,
9.406,5.9993496,6.8805128,4.8963176,-0.00081294776,0.0036580116,-0.0005947314,-9856.0,30973.5,18561.5,
9.523,6.0113208,6.85417636,4.795761,-0.0029446482,0.006189406,-0.001793813,-9600.0,31229.5,19073.5,
9.640,6.0472336,6.91882,4.676051,-0.0032111108,0.007921409,-0.0021935068,-9344.0,30973.5,18561.5,
9.760,5.9849844,6.885301,4.8364624,-0.0058757364,-0.0003389269,-0.0021935068,-9344.0,30973.5,19329.5,
9.876,6.0232916,6.85657068,4.7790016,-0.00933975,-0.0071337184,0.0022031236,-8832.0,30717.5,18817.5,
9.993,5.9993496,6.894878,4.817309,-0.0029446482,-0.0063343348,-0.002326738,-8832.0,31485.5,19585.5,
10.109,5.9849844,6.894878,4.819703,0.0026510656,-0.0011383183,0.0027360496,-9344.0,31741.5,19841.5,
10.226,6.0113208,6.8900892,4.771819,0.0019849092,0.00738848368,0.0006043492,-9088.0,30973.5,18561.5,
10.350,5.9371004,6.885301,4.8987116,-0.0038772672,-0.0028703212,0.00020465534,-9344.0,30973.5,18561.5,
10.467,5.9993496,6.894878,4.723935,-0.0054760424,0.0049903208,-0.0024599694,-9344.0,30973.5,20353.5,
10.583,5.9514656,6.861359,4.831674,0.001451984,0.0033915452,0.0022031236,-8576.0,31485.5,19841.5,
10.699,5.9371004,6.8302344,4.817309,-0.0054760424,0.0077881776,-0.0008611949,-9856.0,30717.5,18817.5,
10.816,6.037657,6.81826368,4.8220972,-0.0073412808,0.009786647,-0.004458438,-9856.0,30973.5,20609.5,
10.938,6.016109,6.9283968,4.8029436,-0.002411738,0.005256787,-0.005657519,-9600.0,30461.5,18817.5,
11.053,5.994561,6.906849,4.819703,-0.002411738,0.005123552,-0.0015273513,-9856.0,31229.5,18817.5,
11.168,6.042445,6.846994,4.807732,0.000119671224,0.0028586238,-0.0025932006,-9600.0,30973.5,19073.5,
11.285,5.9873784,6.80868668,4.807732,-0.0026781856,0.000460457068,-0.0005947314,-9856.0,31229.5,18561.5,
11.404,6.018503,6.8517824,4.819703,-0.0014791042,0.0028586238,-0.0025932006,-9344.0,31229.5,18305.5,
11.526,6.042445,6.8661475,4.7167524,-0.0020120292,0.0029918552,-0.0045916692,-9088.0,30717.5,18817.5,
11.645,6.0448392,6.837417,4.8149148,0.0002528876,-0.00313678,-0.0016605817,-9600.0,31229.5,19329.5,
11.760,5.922735,6.813475,4.879558,-0.004276961,0.0013930798,-0.000727963636,-9344.0,30717.5,19585.5,
11.876,6.037657,6.909243,4.8029436,0.002384603,0.0020592324,-0.004458438,-8832.0,30717.5,19329.5,
11.992,6.0328684,6.97149236,4.8388568,-0.008673593,0.0043241644,0.00073758052,-8832.0,30973.5,18561.5,
12.115,6.0232916,6.8661475,4.7550596,-0.0040104984,-0.0063343348,0.005134211,-8576.0,30717.5,19329.5,
12.233,6.063993,6.902061,4.8220972,-0.00081294776,-0.000205695632,7.142406e-05,-9344.0,30461.5,19073.5,
12.352,5.970619,6.8900892,4.747877,0.001451984,-0.0006053895,0.0011372734,-8320.0,31485.5,19073.5,
12.467,5.965831,6.909243,4.8268856,-0.00067971648,0.0044573956,-0.0037922818,-9088.0,31485.5,19073.5,
12.586,6.001744,6.870936,4.781396,-0.004809886,0.0025921612,7.142406e-05,-9344.0,30717.5,18305.5,
12.705,5.9754076,6.85417636,4.8125204,0.0003861338,0.0027253888,-0.0028596632,-9088.0,30973.5,19329.5,
12.823,5.980196,6.902061,4.831674,-0.00347757336,0.0059229432,-0.0005947314,-10112.0,31485.5,19073.5,
12.941,6.001744,6.8876952,4.8364624,0.0005193651,0.001526311,0.00087081176,-10368.0,30973.5,18049.5,
13.057,6.02808,6.858965,4.7622424,-0.0014791042,0.0067223272,-0.003259357,-9856.0,31229.5,19585.5,
13.173,6.001744,6.8876952,4.7909728,-0.00081294776,0.0057897084,7.142406e-05,-9600.0,30717.5,18817.5,
13.294,6.013715,6.8517824,4.78379,-0.0021452606,0.004857093,0.000337886632,-9600.0,30973.5,18305.5,
13.410,5.941889,6.8876952,4.8364624,-0.00081294776,0.0028586238,7.142406e-05,-9600.0,30973.5,17793.5,
13.527,5.9730132,6.894878,4.8484336,-0.0014791042,0.00738848368,-0.0013941191,-10624.0,30973.5,18305.5,
13.645,6.061599,6.894878,4.7383004,-0.0017455816,0.008454334,-0.0035258192,-10368.0,30461.5,19329.5,
13.761,6.016109,6.846994,4.7406944,-0.0038772672,0.0008601546,-0.0016605817,-9856.0,30461.5,19841.5,
13.883,6.0352624,6.8206576,4.8220972,-0.0010794252,-0.0010050833,-0.0021935068,-10112.0,31229.5,19585.5,
14.001,5.934706,6.870936,4.843645,-0.00094617908,0.0023256988,-0.004191975,-9344.0,30973.5,19073.5,
14.116,6.037657,6.8876952,4.745483,-0.0029446482,0.0055232496,-0.0031261258,-9600.0,30973.5,19073.5,
14.233,6.006532,6.861359,4.805338,-0.00774095936,0.0040577016,-0.0003282698,-9088.0,31485.5,19329.5,
14.349,6.0089264,6.9283968,4.7646364,-0.006142199,0.0068555624,0.00087081176,-10112.0,31229.5,18817.5,
14.472,6.042445,6.897272,4.7502712,0.0015852153,-0.0011383183,0.001004043,-9088.0,30973.5,19073.5,
14.588,5.9514656,6.861359,4.8244916,-0.0022784918,0.003924474,0.000337886632,-9600.0,31229.5,19073.5,
14.706,5.9514656,6.885301,4.8963176,-0.004809886,0.0036580116,0.0018034298,-10624.0,31229.5,19329.5,
14.822,5.9754076,6.9355792,4.7909728,-0.004809886,0.0023256988,-0.0019270442,-9856.0,31229.5,18817.5,
14.940,6.001744,6.91403136,4.7143584,-0.0037440508,0.0041909368,-0.0016605817,-9600.0,30717.5,19841.5,
15.063,6.0568104,6.8517824,4.793367,-0.0013458729,0.0059229432,0.004201592,-10624.0,30717.5,19329.5,
15.180,6.054416,6.861359,4.7981552,0.0015852153,-7.246435e-05,-0.0012608878,-10112.0,30973.5,19329.5,
15.296,5.9754076,6.8876952,4.78379,-0.00414373,0.0023256988,0.0015369672,-9600.0,30717.5,18561.5,
15.411,5.958648,6.957127,4.7550596,0.0003861338,0.0025921612,-0.002726432,-9344.0,31229.5,19073.5,
15.527,5.9035816,6.882907,4.843645,-0.0022784918,-0.0010050833,-0.000727963636,-9856.0,31741.5,19329.5,
15.651,5.9634368,6.849388,4.8101264,-0.006142199,0.008321103,-0.0005947314,-10112.0,30973.5,18817.5,
15.766,6.052022,6.8781184,4.7502712,-0.00520958,0.00912049,-0.0045916692,-9856.0,30973.5,18817.5,
15.880,6.0208976,6.8900892,4.7909728,0.00065259636,0.0021924674,-0.002326738,-9088.0,31229.5,18049.5,
15.998,6.025686,6.894878,4.819703,-0.0017455816,-0.0043358652,-0.0001950385,-9856.0,31229.5,19073.5,
16.112,5.7958428,6.9834632,4.9561724,0.0049159976,-0.0058014056,-0.005923982,-9344.0,31485.5,18817.5,
16.235,5.9730132,6.897272,4.8604044,-1.3560057e-05,-0.00380293668,-0.0024599694,-9600.0,30717.5,18305.5,
16.354,5.994561,6.894878,4.733512,-0.007874206,0.0064558648,0.0015369672,-9344.0,31229.5,19073.5,
16.469,6.049628,6.85417636,4.7622424,-0.0010794252,-0.000871852064,0.00286928,-9856.0,30973.5,18305.5,
16.586,5.95386,6.870936,4.8340684,-0.0064086468,0.006056171,-0.0049913632,-10112.0,30973.5,18817.5,
16.701,6.004138,6.906849,4.7263292,-0.0017455816,0.0067223272,-6.180722e-05,-9344.0,31229.5,19329.5,
16.823,5.9610424,6.9164252,4.771819,0.0049159976,-0.0030035526,-0.002726432,-10112.0,30717.5,18561.5,
16.939,5.9754076,6.933185,4.78379,0.004249841,-0.012596201,-0.0052578252,-9600.0,30973.5,18305.5,
17.054,5.944283,6.969098,4.7646364,0.0005193651,6.0766936e-05,0.00087081176,-10368.0,31229.5,19329.5,
17.170,5.9155524,6.870936,4.8125204,0.0027842968,-0.019923918,-0.0011276575,-9600.0,30973.5,19073.5,
17.287,6.159761,7.0337416,4.6353496,0.001451984,-0.011530351,0.00087081176,-9600.0,31229.5,17793.5,
17.404,5.922735,6.8876952,4.831674,-0.00347757336,0.006589096,-0.0008611949,-9344.0,31741.5,18049.5,
17.525,6.0568104,6.8996664,4.7167524,-0.00694158636,0.011918347,-0.0009944253,-9088.0,31741.5,17537.5,
17.644,6.040051,6.9643096,4.747877,-0.0010794252,0.0020592324,-0.0025932006,-9600.0,31485.5,18305.5,
17.761,6.090329,6.837417,4.688022,-0.00361080468,-0.0016712397,-0.0015273513,-9344.0,31485.5,18049.5,
17.878,6.052022,6.8685416,4.7383004,0.0003861338,-0.0019377023,0.0006043492,-9600.0,31229.5,17793.5,
17.995,5.9873784,6.85417636,4.7670308,-0.01147145,6.0766936e-05,0.0018034298,-9344.0,31229.5,19329.5,
18.119,6.097512,6.85657068,4.8005496,-0.0068083555,0.01218481,7.142406e-05,-8320.0,31741.5,18049.5,
18.238,6.0208976,6.80629236,4.7383004,0.0030507594,0.015382361,-0.0060572124,-8576.0,30973.5,18817.5,
18.357,6.2004624,6.727284,4.8005496,-0.00094617908,0.009253722,0.0031357436,-8064.0,32509.5,18305.5,
18.473,6.040051,6.897272,4.6353496,-0.00347757336,0.0076549464,-0.0029928944,-10624.0,30205.5,17025.5,
18.591,6.0807524,6.885301,4.70957,-0.0045434236,0.009386953,0.0022031236,-9600.0,30973.5,18817.5,
18.712,5.9610424,6.8900892,4.771819,-0.0068083555,0.005656477,-0.0003282698,-9856.0,31485.5,19073.5,
