# epoch_start_s=1609459202
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,wind_vane_deg
# wind_vane_deg is blank for the first 270 s, populated for the final 30 s
0.124,1.1247549,1.0937274,9.938506,0.03262809,0.008454334,-0.0057907504,-128.0,-771.5,27009.5,
0.240,1.0577173,0.9572578,9.878652,0.021703124,0.016048514,-0.0031261258,-384.0,-1539.5,27777.5,
0.357,1.0816593,0.9668346,9.897805,0.013576031,0.0044573956,-0.0060572124,128.0,-1282.5,27009.5,
0.474,1.1175723,0.99077668,9.955266,0.0155745,0.008587565,-0.0015273513,-128.0,-1539.5,28033.5,
0.595,1.1008129,1.0554202,9.881045,0.0049159976,0.0021924674,0.0018034298,-384.0,-2819.5,28545.5,
0.713,1.0672941,1.0817564,9.86668,-0.0012126416,-0.0003389269,-0.000727963636,-640.0,-2051.5,26753.5,
0.831,1.0888419,1.0266896,9.926536,-0.008140668,-0.00313678,0.0015369672,-640.0,-2819.5,27265.5,
0.946,1.0720825,0.99556504,9.931324,0.00065259636,0.003924474,-0.0060572124,-640.0,-1539.5,27265.5,
1.063,1.0170159,1.0099302,9.897805,0.0050492288,0.0064558648,-0.005124594,-384.0,-2307.5,26753.5,
1.186,1.0457463,0.99077668,9.938506,0.026499466,0.016314978,-0.004458438,-640.0,-2563.5,26753.5,
1.302,0.9715261,1.1080926,9.864286,0.028497934,0.0059229432,-0.006190444,-384.0,-2307.5,27265.5,
1.418,1.1008129,1.1104868,9.890622,0.036092104,-0.0004721582,-0.0025932006,-128.0,-3075.5,26497.5,
1.535,1.0481405,1.1942837,9.835556,0.047949688,0.03363504,-0.009654457,-640.0,-3075.5,26753.5,
1.651,0.82787392,1.1607649,9.885834,0.0495484616,0.03363504,-0.010853537,-1408.0,-4355.5,25985.5,
1.774,0.87815224,1.3020229,9.902594,0.0115775616,0.0043241644,7.142406e-05,-1152.0,-5123.5,27265.5,
1.891,0.957160864,1.3379359,9.893017,-0.01760009,-0.005534947,0.00087081176,-1408.0,-5635.5,27521.5,
2.008,1.5221925,2.2118196,9.876257,-0.15282978,-0.00939865,0.08054309,-1408.0,-5123.5,26753.5,
2.124,1.1415144,1.3714547,10.041457,-0.2975189,0.08013274,0.38710818,-1920.0,-2563.5,27777.5,
2.242,-0.1058647,-0.52475304,9.998362,-0.032122284,-0.20618118,0.4517253,-1920.0,3324.5,27778.5,
2.357,3.2699596,0.68192468,10.012727,0.214488732,-0.14236343,-0.05095614,384.0,5117.5,25986.5,
2.481,1.0601115,1.076968,9.940901,0.22874448,0.18391988,-0.06467896,1664.0,1789.5,26242.5,
2.596,0.83026816,1.87184284,9.814008,0.12229271,0.102648824,-0.027773906,-640.0,-1283.5,26497.5,
2.715,0.6530973,1.5629909,9.758942,-0.05104111,0.0024589264,-0.003925513,-1920.0,-1795.5,26497.5,
2.830,1.2372825,1.5917213,9.828373,-0.027592436,-0.12051351,0.047102052,-1152.0,-771.5,27265.5,
2.947,0.9643434,1.0793622,9.859498,-0.06489718,-0.00313678,0.015393018,128.0,-258.5,27009.5,
3.067,1.2899549,1.1751301,9.852315,0.031961932,0.0205783768,-0.006190444,-128.0,508.5,25730.5,
3.184,0.95476664,1.3642721,9.833161,0.016240656,0.023376234,-0.0048581316,-128.0,-515.5,26497.5,
3.302,1.0194101,1.2565332,9.864286,-0.013736367,-0.010864198,0.006599755,-128.0,-259.5,26497.5,
3.419,1.1774274,1.1679475,9.885834,-0.010538831,-0.0016712397,-0.0020602756,384.0,-514.5,26497.5,
3.537,1.0337753,1.1990721,9.909776,0.014641866,0.019246066,-0.0076559876,-384.0,-771.5,26753.5,
3.662,1.0648999,1.4049735,9.861892,-0.0153351568,-0.0062011032,0.0022031236,-640.0,-771.5,27265.5,
3.781,1.1822158,1.2445619,9.811614,-0.0038772672,-0.0034032464,0.0014037369,-384.0,-771.5,27009.5,
3.899,1.1175723,1.3546953,9.924141,0.0002528876,0.00738848368,0.00087081176,-384.0,-3.5,26241.5,
4.018,1.1319375,1.3331475,9.809219,-0.0082739,6.0766936e-05,0.0030025114,-384.0,-771.5,27009.5,
4.135,1.0122275,1.1847069,9.907382,0.0058486164,0.010053109,-0.005124594,-640.0,-771.5,27265.5,
4.252,1.0696883,1.2445619,9.888228,-0.0045434236,-0.0026038588,-0.0011276575,-128.0,-771.5,27265.5,
4.376,1.1870042,1.3283591,9.85471,0.001451984,0.0064558648,-0.0024599694,128.0,-770.5,27777.5,
4.493,1.2061579,1.3044171,9.842738,0.001451984,-0.0039361716,0.000337886632,-128.0,-1027.5,26753.5,
4.611,0.92124784,1.2445619,9.926536,0.0053156764,0.017380826,-0.00685660036,-128.0,-1027.5,27777.5,
4.729,1.1558796,1.4001851,9.835556,-0.011204988,-0.0072669532,0.004601286,128.0,-770.5,28289.5,
4.846,1.1032071,1.2828693,9.833161,0.006647989,0.0053900144,-0.0049913632,384.0,-770.5,27777.5,
4.968,0.904488464,1.2732926,9.895411,-0.017333626,-0.010597732,-6.180722e-05,-128.0,-1283.5,28033.5,
5.085,1.0888419,1.1727359,9.833161,-0.0044102072,-0.0016712397,-0.0020602756,-384.0,-1027.5,26753.5,
5.204,1.0481405,1.3139939,9.88344,0.0013187528,-0.0003389269,-0.0045916692,128.0,-1026.5,27265.5,
5.320,1.0074391,1.2924461,9.88344,-0.00933975,-0.0047355556,0.0015369672,-384.0,-1539.5,27265.5,
5.436,1.0936303,1.3068113,9.888228,0.004782766,0.014982665,-0.005124594,-128.0,-1027.5,26753.5,
5.558,1.0313811,1.3211765,9.852315,0.008513242,0.0076549464,-0.0035258192,128.0,-1538.5,27009.5,
5.675,1.0313811,1.2852635,9.921747,-0.003344342,0.0003272295,-0.0008611949,-896.0,-1539.5,26753.5,
5.791,1.0888419,1.3834257,9.926536,-0.0050763636,0.0049903208,0.0012705056,128.0,-1282.5,25985.5,
5.909,1.0481405,1.3092055,9.897805,0.0010522902,0.010985728,-0.0057907504,-128.0,-2307.5,27265.5,
6.027,1.1079955,1.2517448,9.804431,-0.0060089676,-0.007799879,0.003801899,-640.0,-1027.5,27265.5,
6.151,1.0505347,1.3427243,9.914564,0.0029175282,0.012451272,-0.0003282698,-128.0,-771.5,28033.5,
6.268,0.94758404,1.2637158,9.85471,-0.007474512,0.0011266135,-0.004191975,-640.0,-1027.5,26753.5,
6.385,1.1271491,1.3834257,9.933718,-0.007607743,0.0043241644,0.000337886632,-128.0,-771.5,27265.5,
6.503,1.0361695,1.3427243,9.91217,-0.00028002262,0.0076549464,-0.0052578252,-384.0,-515.5,26753.5,
6.621,1.1774274,1.3930025,9.91217,0.0025178344,0.0040577016,-0.003259357,-640.0,-1027.5,26753.5,
6.743,1.1199665,1.2948403,9.818796,-0.0057424904,0.0009933859,0.00073758052,128.0,-770.5,27009.5,
6.861,1.0936303,1.2397735,9.907382,0.0002528876,-0.000871852064,-0.000727963636,384.0,-514.5,26753.5,
6.980,1.0170159,1.3546953,9.878652,0.0010522902,0.003791239,-0.000727963636,-128.0,-515.5,27009.5,
7.098,0.928430464,1.1918895,9.871469,-0.01506868,-0.012995895,-0.0021935068,-384.0,-1027.5,28033.5,
7.215,1.1079955,1.1655533,9.869075,-0.009872675,0.0012598485,-0.0029928944,-384.0,-515.5,27521.5,
7.333,1.1008129,1.4480691,9.885834,-0.002811417,0.010186341,-0.0040587444,-384.0,-259.5,25985.5,
7.456,1.1822158,1.3666663,9.873863,-0.008673593,0.0059229432,0.0011372734,-384.0,-515.5,26241.5,
7.573,1.0864477,1.4815879,9.91217,0.0039833636,-0.0006053895,-0.0013941191,-128.0,-1027.5,27009.5,
7.690,1.0026507,1.4121561,9.814008,-0.0101391376,-0.012063276,0.001004043,-128.0,-1027.5,26753.5,
7.807,1.1558796,1.3594837,9.861892,-0.0040104984,-0.00180447468,0.00020465534,128.0,-770.5,27009.5,
7.926,1.0074391,1.3906083,9.861892,-0.0045434236,0.0021924674,0.0030025114,-384.0,-259.5,26241.5,
8.051,1.0625057,1.2900519,9.878652,-0.019731774,-0.009665113,0.004601286,-384.0,-771.5,26497.5,
8.167,1.0840535,1.2038605,9.842738,-0.0012126416,0.0020592324,-0.002326738,384.0,-1282.5,25729.5,
8.284,0.9763145,1.3642721,9.876257,0.0010522902,0.0063226336,-6.180722e-05,128.0,-514.5,27265.5,
8.401,1.0481405,1.2517448,9.881045,-0.0060089676,-0.0003389269,-0.004191975,128.0,-2.5,27265.5,
8.517,1.0337753,1.2732926,9.888228,-0.00014679134,-0.00313678,0.000337886632,384.0,-514.5,25729.5,
8.641,1.1534854,1.2397735,9.79246,0.0013187528,0.0033915452,-0.0031261258,-384.0,-1027.5,26753.5,
8.758,0.94758404,1.2254083,9.859498,-0.009739429,-0.0003389269,-0.002326738,128.0,-770.5,26497.5,
8.876,1.0912361,1.2206199,9.904987,0.0019849092,0.0035247804,-0.0031261258,-128.0,-515.5,27009.5,
8.996,0.94758404,1.2637158,9.828373,0.011311084,0.007921409,-0.003925513,-384.0,-1027.5,26497.5,
9.119,1.0385637,1.3163881,9.787672,-0.014269307,-0.004069403,-0.0016605817,-384.0,-771.5,27265.5,
9.243,1.0816593,1.3451185,9.835556,0.0003861338,0.0019260049,-0.003259357,-128.0,-515.5,27009.5,
9.361,1.1175723,1.3259649,9.842738,-0.002811417,0.0028586238,0.00087081176,128.0,-258.5,27521.5,
9.479,1.0313811,1.3499069,9.881045,-0.0053428112,0.0040577016,-0.0037922818,-384.0,-515.5,25985.5,
9.598,1.0744767,1.2732926,9.857103,-0.0082739,-0.0047355556,0.00047111884,384.0,-770.5,25985.5,
9.715,1.1175723,1.3451185,9.864286,-0.00361080468,0.003791239,-0.0024599694,-128.0,-771.5,26497.5,
9.833,1.0385637,1.3115997,9.902594,-0.0030778944,0.007122021,-0.0005947314,128.0,-514.5,25729.5,
9.955,1.0002565,1.2732926,9.909776,-0.009739429,-0.0059346408,-0.0031261258,-128.0,-259.5,27265.5,
10.072,1.0960245,1.2972345,9.871469,-0.00067971648,0.005256787,0.0012705056,128.0,-770.5,25985.5,
10.190,1.1510912,1.4313097,9.835556,-0.0045434236,0.0003272295,-0.00046150108,-640.0,-1027.5,27265.5,
10.307,1.0792651,1.26611,9.799643,-0.014136061,0.008587565,-0.008855069,384.0,-770.5,25473.5,
10.422,1.3641751,1.064997,9.86668,-0.012936994,-0.01566052,0.002336355,-128.0,-515.5,27777.5,
10.543,1.2324941,1.2756868,9.962448,-0.025194258,0.01764729,-0.011253231,-128.0,-515.5,25985.5,
10.659,-1.472954,0.59094492,12.31116,-0.114725668,-0.5008887,-0.20790254,-128.0,-515.5,25473.5,
10.776,1.2468593,-0.32364008,13.836266,0.0143754032,-0.092534948,-0.46224096,3456.0,-1282.5,22657.5,
10.896,0.957160864,-0.12013294,12.768453,-0.19239946,0.012451272,-0.8889807,3456.0,-3074.5,20865.5,
11.014,1.2516477,-0.175199568,11.1691268,-0.08394922,-0.14622712,-1.4669378,1664.0,-6658.5,21121.5,
11.139,0.94518984,0.9404984,9.05744,0.12002778,-0.37311996,-1.82439716,896.0,-15874.5,18305.5,
11.256,1.8597748,0.6340406,7.192357,-0.03238876,-0.25867432,-1.77496832,-1152.0,-27395.5,14209.5,
11.372,1.1941868,1.2230141,8.195528,-0.19666289,-0.14995761,-1.7152808,-6784.0,29436.5,11137.5,
11.490,-0.034038664,1.1463997,8.7174632,0.3170768,0.15274377,-1.5146345,-15488.0,21500.5,10881.5,
11.608,-0.54639776,2.9348686,8.274536,0.44231416,0.15727364,-0.8636667,-24448.0,11516.5,7041.5,
11.730,1.0481405,3.0186656,8.286508,0.31401248,-0.24335272,-0.40854876,-29824.0,4604.5,1409.5,
11.846,1.1415144,2.7792454,9.172362,0.5259834,-0.915770736,0.05549562,-25472.0,252.5,-2942.5,
11.962,2.1279254,4.92445,7.48445,0.33319776,-0.5468535,0.030181684,-17024.0,-4611.5,-10367.5,
12.076,2.5229688,3.3490652,7.6592264,-0.31044232,-0.38044764,0.031513996,-12160.0,-5379.5,-15231.5,
12.193,3.631484,4.086479,9.830768,0.030363158,-0.11411841,-0.08000055,-10368.0,-2819.5,-13439.5,
12.308,1.7448532,3.5190536,9.79246,0.249395316,-0.32582284,-0.021378804,-9600.0,-2819.5,-14719.5,
12.431,3.322632,4.297169,8.138066,0.364507136,-0.47477536,0.22016942,-6272.0,-5891.5,-20863.5,
12.547,3.6602144,3.7824158,7.9537132,0.19143974,-0.32475698,0.338612032,-896.0,-7427.5,-25727.5,
12.667,3.9762492,3.96676936,8.157221,0.09018399,-0.107190384,0.30410512,4736.0,-7938.5,-28031.5,
12.786,4.495791,4.321111,8.269748,0.017706186,-0.0010050833,0.29744356,8320.0,-7426.5,-30335.5,
12.902,4.816614,3.99071136,8.370304,-0.02852504,0.09811896,0.22270082,10880.0,-6146.5,-30591.5,
13.023,4.8190084,3.9643752,8.569023,0.11163422,0.08026597,0.19911888,11904.0,-5378.5,-29823.5,
13.139,4.9435068,3.997894,8.260171,0.018638804,0.008987259,0.25134554,13440.0,-4610.5,-30847.5,
13.255,4.8692864,3.7417144,8.116519,-0.03585276,0.03270242,0.15035625,15744.0,-3074.5,-29823.5,
13.370,4.8692864,3.571726,8.358334,-0.0058757364,0.060148056,0.019523184,16256.0,-2818.5,-30079.5,
13.485,4.498185,3.4783524,8.001597,0.01757297,0.042827992,-0.08306487,16256.0,-2562.5,-29567.5,
13.605,4.591559,3.914097,8.087789,-0.12764908,0.184053108,-0.0281736,15232.0,-2306.5,-30079.5,
13.721,3.82780868,3.2221728,9.35911,-0.00520958,0.11264116,0.04323835,13696.0,-1794.5,-28287.5,
13.836,5.187715,3.7991752,9.0358932,0.1998333,-0.08400814,-0.046026584,13696.0,-2562.5,-27519.5,
13.951,4.7998548,4.1630936,7.90343468,0.3840921,-0.42121644,-0.04016441,14464.0,-4866.5,-31103.5,
14.068,5.0488516,3.97634632,7.6137368,0.23367404,-0.354734,-0.09425629,16512.0,-8194.5,27520.5,
14.184,4.546069,4.416879,7.383893,0.06353774,-0.14875853,-0.07094083,18304.0,-10754.5,21376.5,
14.305,5.0512456,4.807134,7.237847,0.03809057,-0.038043364,0.02205458,19072.0,-11522.5,21120.5,
14.419,5.515721,4.2444964,6.6273256,-0.25968128,0.25133488,-0.09225782,19072.0,-10498.5,21120.5,
14.535,5.044063,4.2325252,8.193133,-0.29618664,0.42466872,-0.26252736,16000.0,-10498.5,25216.5,
14.652,4.8812576,4.416879,8.700705,-0.21744696,0.09838542,-0.2845105,11392.0,-9218.5,31104.5,
14.768,4.713663,4.0649316,8.19074,-0.19253274,-0.1021276,-0.38803116,7552.0,-9218.5,-30847.5,
