# epoch_start_s=1774903441
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.075,-0.7541735,-0.40222588,9.988609,0.028511486,0.0025313936,-0.058488516,-25984,27905,-11267
0.192,-0.6392518,-0.19632454,10.144233,-0.021183766,-0.07274425,-0.08646707,-24448,21505,-17923
0.307,-0.61770404,0.095768068,10.06283,-0.01851914,-0.10325421,-0.040635528,-23936,15617,-29955
0.422,-0.3184288,0.30166942,9.940725,0.06368453,-0.12417152,-0.033041348,-29312,13569,25597
0.536,-0.062249244,0.383072268,9.873688,-0.09605972,-0.12537059,-0.044099544,31360,12033,18685
0.658,-0.2705448,0.5722142,9.646238,-0.094993868,-0.025047474,-0.077407348,25728,10497,13565
0.772,-0.4237737,0.61052144,9.97185,-0.10458652,-0.06674885,-0.093928024,20352,9729,12541
0.886,-0.1316811,0.7038953,9.938332,-0.052626336,-0.14535528,-0.077673816,16512,7681,11517
1.001,-0.33758244,1.0247183,10.096349,-0.08686677,-0.17026952,-0.033041348,15232,5889,9213
1.117,-0.0023942016,0.9528923,9.828198,-0.18372588,-0.15001838,-0.014788668,12672,5121,7933
1.238,0.15562311,0.9552865,9.490616,-0.244745784,-0.11337979,-0.044898928,11904,4609,4861
1.355,0.22505496,0.7565677,9.411607,-0.25380552,-0.013189893,-0.005196018,9856,3841,4605
1.470,0.29927522,0.6799533,9.825804,-0.33121284,-0.07594181,-0.0030643184,7808,3329,5885
1.584,0.1388637,0.61770404,9.892841,-0.25433844,0.016653904,0.020784072,5760,3329,6653
1.700,0.373495468,0.30645782,10.2495776,-0.30256816,-0.0699464,0.015454824,3968,3841,7933
1.817,-0.08379706,0.4285621,9.964667,-0.27911946,-0.11298009,0.008260337,2944,5633,9469
1.937,0.29927522,0.06464344,10.125079,-0.3662527,-0.1283017,0.04729709,1664,7169,11005
2.051,0.5722142,-0.1316811,9.593566,-0.350664616,-0.09965697,0.026646248,1664,8449,11005
2.165,0.7302315,-0.45010992,9.394848,-0.43939664,-0.0912634,0.0009326187,1664,11521,12285
2.279,0.23223756,-0.6392518,9.533711,-0.33547628,-0.00053292496,0.061819296,896,14337,12541
2.395,0.47884036,-0.89782568,9.7803132,-0.29537364,-0.014921899,0.08047167,1664,17665,12029
2.511,0.5530606,-1.0726024,9.289502,-0.32921436,-0.0046630936,0.074476264,1920,19713,12285
2.632,0.5243302,-1.2042835,9.433155,-0.354528352,0.0233154668,0.035839204,3200,22017,12541
2.749,0.177170932,-1.4293384,9.931149,-0.25793568,0.01292343,0.06888055,4224,25345,11773
2.864,0.177170932,-1.5131354,9.672575,-0.20784072,0.027312404,0.09685911,4480,26625,10749
2.980,0.08140286,-1.496376,9.763555,-0.28205052,0.0009326187,0.054624808,6016,28161,10237
3.094,0.12449849,-1.685518,10.000581,-0.188788652,0.07900613,0.049961712,8320,29185,7933
3.211,-0.090979668,-1.7477672,9.557653,-0.25993412,0.09326187,0.035839204,8576,31233,9725
3.332,-0.076614456,-1.9416976,9.753978,-0.22209649,0.09592649,0.029310872,12416,31745,8189
3.449,-0.14844051,-1.958457,10.175357,-0.22103064,0.082869832,0.014788668,14464,32513,9213
3.565,-0.4381389,-1.8267759,9.785102,-0.1684043,0.044099544,-0.0010658499,14720,-31487,10237
3.681,-0.46447512,-1.9009962,9.821015,-0.24101532,0.011990812,0.011990812,14208,-31999,11261
3.797,-0.49799396,-1.946486,9.734824,-0.231422636,0.028777948,0.002264931,16768,-31231,11517
